,I,gq,groups,score
0,0.1,0.01,1,-135.76
1,0.1,0.019898989899,1,-135.76
2,0.1,0.029797979797999998,1,-135.76
3,0.1,0.039696969697,1,-135.76
4,0.1,0.049595959595999994,1,-135.76
5,0.1,0.0792929292929,1,-135.76
6,0.1,0.06939393939389998,1,-135.76
7,0.1,0.05949494949490001,1,-135.76
8,0.1,0.09909090909089999,1,-135.76
9,0.1,0.08919191919189999,1,-135.76
10,0.1,0.10898989899,1,-135.76
11,0.1,0.128787878788,1,-135.76
12,0.1,0.11888888888900001,1,-135.76
13,0.1,0.138686868687,1,-135.76
14,0.1,0.14858585858599999,1,-135.76
15,0.1,0.158484848485,1,-135.76
16,0.1,0.16838383838399998,1,-135.76
17,0.1,0.178282828283,1,-135.76
18,0.1,0.188181818182,1,-135.76
19,0.1,0.198080808081,1,-135.76
20,0.1,0.20797979798,1,-135.76
21,0.1,0.217878787879,1,-135.76
22,0.1,0.227777777778,1,-135.76
23,0.1,0.23767676767700002,1,-135.76
24,0.1,0.24757575757599998,1,-135.76
25,0.1,0.257474747475,1,-135.76
26,0.1,0.277272727273,1,-135.76
27,0.1,0.267373737374,1,-135.76
28,0.1,0.287171717172,1,-135.76
29,0.1,0.29707070707100003,1,-135.76
30,0.1,0.30696969697,1,-135.76
31,0.1,0.316868686869,1,-135.76
32,0.1,0.326767676768,1,-135.76
33,0.1,0.356464646465,1,-135.76
34,0.1,0.33666666666699996,1,-135.76
35,0.1,0.34656565656599997,1,-135.76
36,0.1,0.366363636364,1,-135.76
37,0.1,0.386161616162,1,-135.76
38,0.1,0.376262626263,1,-135.76
39,0.1,0.396060606061,1,-135.76
40,0.1,0.415858585859,1,-135.76
41,0.1,0.40595959596000003,1,-135.76
42,0.1,0.425757575758,1,-135.76
43,0.1,0.435656565657,1,-135.76
44,0.1,0.445555555556,1,-135.76
45,0.1,0.455454545455,1,-135.76
46,0.1,0.46535353535400004,1,-135.76
47,0.1,0.47525252525300005,1,-135.76
48,0.1,0.48515151515199995,2,-71.87
49,0.1,0.49505050505099996,2,-71.87
50,0.1,0.504949494949,2,-71.87
51,0.1,0.514848484848,2,-71.87
52,0.1,0.524747474747,2,-71.87
53,0.1,0.534646464646,3,-44.88
54,0.1,0.5445454545449999,4,-33.95
55,0.1,0.5643434343429999,7,-17.13
56,0.1,0.554444444444,5,-27.48
57,0.1,0.574242424242,7,-17.13
58,0.1,0.59404040404,9,-9.3
59,0.1,0.584141414141,8,-14.2
60,0.1,0.603939393939,9,-9.3
61,0.1,0.613838383838,11,-3.53
62,0.1,0.623737373737,13,-4.59
63,0.1,0.633636363636,15,-7.33
64,0.1,0.643535353535,18,-9.98
65,0.1,0.653434343434,18,-9.98
66,0.1,0.663333333333,20,-13.64
67,0.1,0.673232323232,23,-19.13
68,0.1,0.683131313131,24,-21.11
69,0.1,0.69303030303,24,-21.11
70,0.1,0.702929292929,27,-27.35
71,0.1,0.712828282828,32,-38.18
72,0.1,0.722727272727,33,-40.43
73,0.1,0.7326262626260001,37,-48.23
74,0.1,0.7524242424240001,38,-49.3
75,0.1,0.742525252525,37,-48.23
76,0.1,0.762323232323,39,-51.78
77,0.1,0.7722222222220001,42,-59.08
78,0.1,0.7821212121209999,47,-71.56
79,0.1,0.7920202020199999,49,-76.61
80,0.1,0.801919191919,50,-79.15
81,0.1,0.821717171717,51,-81.7
82,0.1,0.8118181818179999,50,-79.15
83,0.1,0.8316161616159999,53,-86.84
84,0.1,0.841515151515,58,-99.84
85,0.1,0.861313131313,59,-102.47
86,0.1,0.851414141414,59,-102.47
87,0.1,0.871212121212,61,-107.79
88,0.1,0.881111111111,63,-113.18
89,0.1,0.8910101010100001,65,-118.53
90,0.1,0.9009090909090001,65,-118.53
91,0.30101010101,0.01,1,-135.76
92,0.30101010101,0.019898989899,1,-135.76
93,0.1,0.910808080808,68,-126.82
94,0.30101010101,0.029797979797999998,1,-135.76
95,0.30101010101,0.039696969697,1,-135.76
96,0.30101010101,0.049595959595999994,1,-135.76
97,0.1,0.9207070707070001,73,-140.71
98,0.30101010101,0.05949494949490001,1,-135.76
99,0.1,0.9306060606059999,77,-151.99
100,0.30101010101,0.0792929292929,1,-135.76
101,0.30101010101,0.06939393939389998,1,-135.76
102,0.30101010101,0.08919191919189999,1,-135.76
103,0.1,0.9405050505050001,84,-171.89
104,0.30101010101,0.09909090909089999,1,-135.76
105,0.30101010101,0.10898989899,1,-135.76
106,0.1,0.950404040404,90,-189.2
107,0.30101010101,0.11888888888900001,1,-135.76
108,0.30101010101,0.128787878788,1,-135.76
109,0.30101010101,0.14858585858599999,1,-135.76
110,0.30101010101,0.138686868687,1,-135.76
111,0.30101010101,0.158484848485,1,-135.76
112,0.30101010101,0.16838383838399998,1,-135.76
