I,gq,groups,score
0.1,0.01,1,-135.76
0.1,0.019898989899,1,-135.76
0.1,0.029797979798,1,-135.76
0.1,0.039696969697,1,-135.76
0.1,0.049595959596,1,-135.76
0.1,0.0792929292929,1,-135.76
0.1,0.0693939393939,1,-135.76
0.1,0.0594949494949,1,-135.76
0.1,0.0990909090909,1,-135.76
0.1,0.0891919191919,1,-135.76
0.1,0.10898989899,1,-135.76
0.1,0.128787878788,1,-135.76
0.1,0.118888888889,1,-135.76
0.1,0.138686868687,1,-135.76
0.1,0.148585858586,1,-135.76
0.1,0.158484848485,1,-135.76
0.1,0.168383838384,1,-135.76
0.1,0.178282828283,1,-135.76
0.1,0.188181818182,1,-135.76
0.1,0.198080808081,1,-135.76
0.1,0.20797979798,1,-135.76
0.1,0.217878787879,1,-135.76
0.1,0.227777777778,1,-135.76
0.1,0.237676767677,1,-135.76
0.1,0.247575757576,1,-135.76
0.1,0.257474747475,1,-135.76
0.1,0.277272727273,1,-135.76
0.1,0.267373737374,1,-135.76
0.1,0.287171717172,1,-135.76
0.1,0.297070707071,1,-135.76
0.1,0.30696969697,1,-135.76
0.1,0.316868686869,1,-135.76
0.1,0.326767676768,1,-135.76
0.1,0.356464646465,1,-135.76
0.1,0.336666666667,1,-135.76
0.1,0.346565656566,1,-135.76
0.1,0.366363636364,1,-135.76
0.1,0.386161616162,1,-135.76
0.1,0.376262626263,1,-135.76
0.1,0.396060606061,1,-135.76
0.1,0.415858585859,1,-135.76
0.1,0.40595959596,1,-135.76
0.1,0.425757575758,1,-135.76
0.1,0.435656565657,1,-135.76
0.1,0.445555555556,1,-135.76
0.1,0.455454545455,1,-135.76
0.1,0.465353535354,1,-135.76
0.1,0.475252525253,1,-135.76
0.1,0.485151515152,2,-71.87
0.1,0.495050505051,2,-71.87
0.1,0.504949494949,2,-71.87
0.1,0.514848484848,2,-71.87
0.1,0.524747474747,2,-71.87
0.1,0.534646464646,3,-44.88
0.1,0.544545454545,4,-33.95
0.1,0.564343434343,7,-17.13
0.1,0.554444444444,5,-27.48
0.1,0.574242424242,7,-17.13
0.1,0.59404040404,9,-9.3
0.1,0.584141414141,8,-14.2
0.1,0.603939393939,9,-9.3
0.1,0.613838383838,11,-3.53
0.1,0.623737373737,13,-4.59
0.1,0.633636363636,15,-7.33
0.1,0.643535353535,18,-9.98
0.1,0.653434343434,18,-9.98
0.1,0.663333333333,20,-13.64
0.1,0.673232323232,23,-19.13
0.1,0.683131313131,24,-21.11
0.1,0.69303030303,24,-21.11
0.1,0.702929292929,27,-27.35
0.1,0.712828282828,32,-38.18
0.1,0.722727272727,33,-40.43
0.1,0.732626262626,37,-48.23
0.1,0.752424242424,38,-49.3
0.1,0.742525252525,37,-48.23
0.1,0.762323232323,39,-51.78
0.1,0.772222222222,42,-59.08
0.1,0.782121212121,47,-71.56
0.1,0.79202020202,49,-76.61
0.1,0.801919191919,50,-79.15
0.1,0.821717171717,51,-81.7
0.1,0.811818181818,50,-79.15
0.1,0.831616161616,53,-86.84
0.1,0.841515151515,58,-99.84
0.1,0.861313131313,59,-102.47
0.1,0.851414141414,59,-102.47
0.1,0.871212121212,61,-107.79
0.1,0.881111111111,63,-113.18
0.1,0.89101010101,65,-118.53
0.1,0.900909090909,65,-118.53
0.30101010101,0.01,1,-135.76
0.30101010101,0.019898989899,1,-135.76
0.1,0.910808080808,68,-126.82
0.30101010101,0.029797979798,1,-135.76
0.30101010101,0.039696969697,1,-135.76
0.30101010101,0.049595959596,1,-135.76
0.1,0.920707070707,73,-140.71
0.30101010101,0.0594949494949,1,-135.76
0.1,0.930606060606,77,-151.99
0.30101010101,0.0792929292929,1,-135.76
0.30101010101,0.0693939393939,1,-135.76
0.30101010101,0.0891919191919,1,-135.76
0.1,0.940505050505,84,-171.89
0.30101010101,0.0990909090909,1,-135.76
0.30101010101,0.10898989899,1,-135.76
0.1,0.950404040404,90,-189.2
0.30101010101,0.118888888889,1,-135.76
0.30101010101,0.128787878788,1,-135.76
0.30101010101,0.148585858586,1,-135.76
0.30101010101,0.138686868687,1,-135.76
0.30101010101,0.158484848485,1,-135.76
0.30101010101,0.168383838384,1,-135.76
0.1,0.960303030303,101,-221.39
0.30101010101,0.178282828283,1,-135.76
0.30101010101,0.188181818182,1,-135.76
0.30101010101,0.198080808081,1,-135.76
0.1,0.970202020202,109,-245.29
0.1,0.980101010101,116,-266.47
0.30101010101,0.20797979798,1,-135.76
0.30101010101,0.217878787879,1,-135.76
0.30101010101,0.227777777778,1,-135.76
0.1,0.99,118,-272.57
0.30101010101,0.247575757576,1,-135.76
0.30101010101,0.237676767677,1,-135.76
0.30101010101,0.257474747475,1,-135.76
0.30101010101,0.267373737374,1,-135.76
0.30101010101,0.277272727273,1,-135.76
0.30101010101,0.287171717172,1,-135.76
0.30101010101,0.297070707071,1,-135.76
0.30101010101,0.30696969697,1,-135.76
0.30101010101,0.316868686869,1,-135.76
0.30101010101,0.326767676768,1,-135.76
0.30101010101,0.336666666667,1,-135.76
0.30101010101,0.346565656566,1,-135.76
0.30101010101,0.356464646465,1,-135.76
0.30101010101,0.366363636364,1,-135.76
0.30101010101,0.376262626263,1,-135.76
0.30101010101,0.386161616162,1,-135.76
0.30101010101,0.396060606061,1,-135.76
0.30101010101,0.40595959596,1,-135.76
0.30101010101,0.425757575758,1,-135.76
0.30101010101,0.415858585859,1,-135.76
0.30101010101,0.435656565657,1,-135.76
0.30101010101,0.445555555556,1,-135.76
0.30101010101,0.455454545455,1,-135.76
0.30101010101,0.465353535354,1,-135.76
0.30101010101,0.475252525253,1,-135.76
0.30101010101,0.485151515152,2,-71.87
0.30101010101,0.504949494949,2,-71.87
0.30101010101,0.495050505051,2,-71.87
0.30101010101,0.514848484848,2,-71.87
0.30101010101,0.524747474747,2,-71.87
0.30101010101,0.534646464646,3,-44.88
0.30101010101,0.544545454545,4,-33.95
0.30101010101,0.554444444444,5,-27.48
0.30101010101,0.564343434343,7,-17.13
0.30101010101,0.574242424242,7,-17.13
0.30101010101,0.584141414141,8,-14.2
0.30101010101,0.59404040404,9,-9.3
0.30101010101,0.603939393939,9,-9.3
0.30101010101,0.613838383838,11,-3.53
0.30101010101,0.623737373737,13,-4.59
0.30101010101,0.633636363636,15,-7.33
0.30101010101,0.643535353535,18,-9.98
0.30101010101,0.653434343434,18,-9.98
0.30101010101,0.663333333333,20,-13.64
0.30101010101,0.673232323232,23,-19.13
0.30101010101,0.683131313131,24,-21.11
0.30101010101,0.69303030303,24,-21.11
0.30101010101,0.702929292929,27,-27.35
