I,gq,groups,score
0.1,0.0693939393939,1,-571.73
0.1,0.029797979798,1,-571.73
0.1,0.168383838384,1,-571.73
0.1,0.118888888889,1,-571.73
0.1,0.198080808081,1,-571.73
0.1,0.20797979798,1,-571.73
0.1,0.039696969697,1,-571.73
0.1,0.138686868687,1,-571.73
0.1,0.0891919191919,1,-571.73
0.1,0.158484848485,1,-571.73
0.1,0.0594949494949,1,-571.73
0.1,0.188181818182,1,-571.73
0.1,0.178282828283,1,-571.73
0.1,0.128787878788,1,-571.73
0.1,0.148585858586,1,-571.73
0.1,0.01,1,-571.73
0.1,0.0990909090909,1,-571.73
0.1,0.0792929292929,1,-571.73
0.1,0.049595959596,1,-571.73
0.1,0.10898989899,1,-571.73
0.1,0.019898989899,1,-571.73
0.1,0.40595959596,1,-571.73
0.1,0.415858585859,1,-571.73
0.1,0.386161616162,1,-571.73
0.1,0.396060606061,1,-571.73
0.1,0.366363636364,1,-571.73
0.1,0.217878787879,1,-571.73
0.1,0.227777777778,1,-571.73
0.1,0.376262626263,1,-571.73
0.1,0.297070707071,1,-571.73
0.1,0.30696969697,1,-571.73
0.1,0.277272727273,1,-571.73
0.1,0.237676767677,1,-571.73
0.1,0.287171717172,1,-571.73
0.1,0.346565656566,1,-571.73
0.1,0.257474747475,1,-571.73
0.1,0.267373737374,1,-571.73
0.1,0.326767676768,1,-571.73
0.1,0.336666666667,1,-571.73
0.1,0.356464646465,1,-571.73
0.1,0.316868686869,1,-571.73
0.1,0.247575757576,1,-571.73
0.1,0.623737373737,66,-73.11
0.1,0.603939393939,48,-32.99
0.1,0.613838383838,55,-47.89
0.1,0.633636363636,75,-94.92
0.1,0.643535353535,89,-131.31
0.1,0.653434343434,98,-155.81
0.1,0.554444444444,18,-53.32
0.1,0.465353535354,3,-238.12
0.1,0.455454545455,3,-238.12
0.1,0.524747474747,8,-111.08
0.1,0.445555555556,3,-238.12
0.1,0.673232323232,135,-262.95
0.1,0.663333333333,115,-203.67
0.1,0.435656565657,3,-238.12
0.1,0.683131313131,149,-306.0
0.1,0.425757575758,2,-311.84
0.1,0.514848484848,7,-123.21
0.1,0.544545454545,15,-66.14
0.1,0.504949494949,7,-123.21
0.1,0.534646464646,13,-76.44
0.1,0.495050505051,6,-138.5
0.1,0.485151515152,5,-159.2
0.1,0.475252525253,5,-159.2
0.1,0.69303030303,171,-375.37
0.1,0.702929292929,196,-457.44
0.1,0.712828282828,222,-545.33
0.1,0.722727272727,238,-600.71
0.1,0.732626262626,271,-717.46
0.1,0.742525252525,306,-844.68
0.1,0.752424242424,331,-937.74
0.1,0.772222222222,386,-1147.88
0.1,0.762323232323,358,-1040.05
0.1,0.782121212121,413,-1253.17
0.1,0.79202020202,435,-1340.23
0.1,0.801919191919,458,-1432.42
0.1,0.811818181818,485,-1541.92
0.1,0.821717171717,510,-1644.6
0.1,0.831616161616,541,-1773.33
0.1,0.841515151515,573,-1907.83
0.1,0.851414141414,587,-1967.16
0.1,0.861313131313,615,-2086.76
0.1,0.871212121212,642,-2203.13
0.1,0.881111111111,671,-2329.26
0.1,0.89101010101,697,-2443.35
0.1,0.900909090909,722,-2553.87
0.1,0.910808080808,744,-2651.8
0.1,0.920707070707,764,-2741.37
0.1,0.930606060606,791,-2863.06
0.1,0.940505050505,822,-3003.81
0.1,0.950404040404,850,-3131.89
0.1,0.960303030303,892,-3325.65
0.1,0.970202020202,925,-3479.23
0.1,0.980101010101,948,-3586.94
0.1,0.99,969,-3685.76
0.30101010101,0.01,1,-571.73
0.30101010101,0.019898989899,1,-571.73
0.30101010101,0.029797979798,1,-571.73
0.30101010101,0.039696969697,1,-571.73
0.30101010101,0.049595959596,1,-571.73
0.30101010101,0.0594949494949,1,-571.73
0.30101010101,0.0693939393939,1,-571.73
0.30101010101,0.0792929292929,1,-571.73
0.30101010101,0.0990909090909,1,-571.73
0.30101010101,0.0891919191919,1,-571.73
0.30101010101,0.10898989899,1,-571.73
0.30101010101,0.118888888889,1,-571.73
0.30101010101,0.128787878788,1,-571.73
0.30101010101,0.138686868687,1,-571.73
0.30101010101,0.148585858586,1,-571.73
